Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Unit Amenities,Building Amenities,Pets,Price,Latitude,Longitude,Date,Url
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00902,1 Bedrooms,1 Bathroom,670 SQFT,"Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,"$2,895",49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00802,1 Bedrooms,1 Bathroom,670 SQFT,"Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,"$2,995",49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,01201,2 Bedrooms,1 Bathroom,885 SQFT,"Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,"$3,995",49.26076492409972,-123.13400473849532,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220490/skyline-apartments-at-1305-12th-ave-w-vancouver-bc-v6h-1m3
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,C5,1 Bedrooms,1 Bathroom,657 SQFT,"Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Storage",Dogs & Cats,"$3,653",49.290127325072326,-123.1290959286057,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213237/bayview-at-coal-harbour-apartments-at-1529-pender-st-w-vancouver-bc-v6g-3j3
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,I1,2 Bedrooms,2 Bathrooms,921 SQFT,"Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Storage",Dogs & Cats,"$4,575",49.290127325072326,-123.1290959286057,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213237/bayview-at-coal-harbour-apartments-at-1529-pender-st-w-vancouver-bc-v6g-3j3
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,I1,2 Bedrooms,2 Bathrooms,921 SQFT,"Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Storage",Dogs & Cats,"$4,578",49.290127325072326,-123.1290959286057,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p213237/bayview-at-coal-harbour-apartments-at-1529-pender-st-w-vancouver-bc-v6g-3j3
Victoria Mews,Victoria,"1933 41st Ave E, Vancouver, BC V5P 4Y4",Vancouver,2-Bedroom 1-Bath,2 Bedrooms,1 Bathroom,786 SQFT,"Assigned Parking, Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Cats,"$2,950",49.23272502062147,-123.06663636542636,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p447788/victoria-mews-apartments-at-1933-41st-ave-e-vancouver-bc-v5p-4y4
Victoria Mews,Victoria,"1933 41st Ave E, Vancouver, BC V5P 4Y4",Vancouver,2-Bedroom 1.5-Bath Unit With Den,2 Bedrooms,1 Bathroom,"1,227 SQFT","Assigned Parking, Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Cats,"$3,650",49.23272502062147,-123.06663636542636,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p447788/victoria-mews-apartments-at-1933-41st-ave-e-vancouver-bc-v5p-4y4
8675 French,Marpole Apartments,"8675 French St, Vancouver, BC V6P 4W5",Vancouver,Royal Villa - Plan G (Jr. 1 Bed),1 Bedrooms,1 Bathroom,460 SQFT,"Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,"$2,199",49.20747848476663,-123.13930776333687,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220475/apartments-at-8675-french-st-vancouver-bc-v6p-4w5
8675 French,Marpole Apartments,"8675 French St, Vancouver, BC V6P 4W5",Vancouver,Royal Villa - Plan F,1 Bedrooms,1 Bathroom,453 SQFT,"Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,"$2,200",49.20747848476663,-123.13930776333687,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220475/apartments-at-8675-french-st-vancouver-bc-v6p-4w5
8675 French,Marpole Apartments,"8675 French St, Vancouver, BC V6P 4W5",Vancouver,Royal Villa - Plan B,1 Bedrooms,1 Bathroom,644 SQFT,"Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,"$2,349",49.20747848476663,-123.13930776333687,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220475/apartments-at-8675-french-st-vancouver-bc-v6p-4w5
West Bay Court,West End Apartments,"1111 Pacific St, Vancouver, BC V6E 3X7",Vancouver,One Bedroom 101,1 Bedrooms,1 Bathroom,625 SQFT,"Assigned Parking, Balcony, Carpet, Central Heat, Dishwasher, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$2,700",49.27850089934413,-123.13458682805098,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p558967/west-bay-court-apartments-at-1111-pacific-st-vancouver-bc-v6e-3x7
West Bay Court,West End Apartments,"1111 Pacific St, Vancouver, BC V6E 3X7",Vancouver,One Bedroom 410,1 Bedrooms,1 Bathroom,680 SQFT,"Assigned Parking, Balcony, Carpet, Central Heat, Dishwasher, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$2,800",49.27850089934413,-123.13458682805098,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p558967/west-bay-court-apartments-at-1111-pacific-st-vancouver-bc-v6e-3x7
West Bay Court,West End Apartments,"1111 Pacific St, Vancouver, BC V6E 3X7",Vancouver,Two Bedroom 302,2 Bedrooms,1 Bathroom,810 SQFT,"Assigned Parking, Balcony, Carpet, Central Heat, Dishwasher, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$3,500",49.27850089934413,-123.13458682805098,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p558967/west-bay-court-apartments-at-1111-pacific-st-vancouver-bc-v6e-3x7
West Bay Court,West End Apartments,"1111 Pacific St, Vancouver, BC V6E 3X7",Vancouver,Two Bedroom 415,2 Bedrooms,1 Bathroom,900 SQFT,"Assigned Parking, Balcony, Carpet, Central Heat, Dishwasher, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$3,700",49.27850089934413,-123.13458682805098,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p558967/west-bay-court-apartments-at-1111-pacific-st-vancouver-bc-v6e-3x7
West Bay Court,West End Apartments,"1111 Pacific St, Vancouver, BC V6E 3X7",Vancouver,Two Bedroom 411,2 Bedrooms,1 Bathroom,900 SQFT,"Assigned Parking, Balcony, Carpet, Central Heat, Dishwasher, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$3,950",49.27850089934413,-123.13458682805098,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p558967/west-bay-court-apartments-at-1111-pacific-st-vancouver-bc-v6e-3x7
1918 York Ave,Kitsilano Apartments,"1918 York Ave, Vancouver, BC V6J 1E3",Vancouver,One Bedroom 102,1 Bedrooms,1 Bathroom,560 SQFT,"Assigned Parking, Balcony, Carpet, Dishwasher, On Site Laundry, Walk In Closets","Elevator, Garage Parking, On Site Laundry, Outdoor Space, Storage",Dogs & Cats,"$2,700",49.27154273730451,-123.14851763800029,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p561030/apartments-at-1918-york-ave-vancouver-bc-v6j-1e3
1918 York Ave,Kitsilano Apartments,"1918 York Ave, Vancouver, BC V6J 1E3",Vancouver,Two Berdoom 204,2 Bedrooms,1 Bathroom,800 SQFT,"Assigned Parking, Balcony, Carpet, Dishwasher, On Site Laundry, Walk In Closets","Elevator, Garage Parking, On Site Laundry, Outdoor Space, Storage",Dogs & Cats,"$3,500",49.27154273730451,-123.14851763800029,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p561030/apartments-at-1918-york-ave-vancouver-bc-v6j-1e3
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Apartment,1 Bedrooms,1 Bathroom,580 SQFT,"Assigned Parking, Dishwasher, Furnished, On Site Laundry",On Site Laundry,Dogs & Cats,"$2,750—$2,950",49.28572306748246,-123.13065696899176,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p436541/apartments-at-935-jervis-st-vancouver-bc-v6e-2b5
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Aprtment,2 Bedrooms,1 Bathroom,681 SQFT,"Assigned Parking, Dishwasher, Furnished, On Site Laundry",On Site Laundry,Dogs & Cats,"$3,450",49.28572306748246,-123.13065696899176,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p436541/apartments-at-935-jervis-st-vancouver-bc-v6e-2b5
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Apartment,2 Bedrooms,1 Bathroom,707 SQFT,"Assigned Parking, Dishwasher, Furnished, On Site Laundry",On Site Laundry,Dogs & Cats,"$3,575—$3,675",49.28572306748246,-123.13065696899176,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p436541/apartments-at-935-jervis-st-vancouver-bc-v6e-2b5
935 Jervis,West End Apartments,"935 Jervis St, Vancouver, BC V6E 2B5",Vancouver,Apartment,3 Bedrooms,1 Bathroom,811 SQFT,"Assigned Parking, Dishwasher, Furnished, On Site Laundry",On Site Laundry,Dogs & Cats,"$4,500",49.28572306748246,-123.13065696899176,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p436541/apartments-at-935-jervis-st-vancouver-bc-v6e-2b5
Tate ,Downtown Vancouver Apartments,"1283 Howe St, Vancouver, BC V6Z 0E3",Vancouver,Condos,1 Bedrooms,1 Bathroom,456 SQFT,"Air Conditioning, Assigned Parking, Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,875—$2,950",49.27695339486628,-123.1285853974624,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p428564/tate-1283-howe-apartments-at-1283-howe-st-vancouver-bc-v6z-0e3
Tate ,Downtown Vancouver Apartments,"1283 Howe St, Vancouver, BC V6Z 0E3",Vancouver,Condos,2 Bedrooms,1 Bathroom,592 SQFT,"Air Conditioning, Assigned Parking, Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$3,400—$3,600",49.27695339486628,-123.1285853974624,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p428564/tate-1283-howe-apartments-at-1283-howe-st-vancouver-bc-v6z-0e3
Muro,West End Apartments,"1770 Davie St, Vancouver, BC V6G 1W4",Vancouver,Spacious 1 Bedroom,1 Bedrooms,1 Bathroom,491 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Roof Deck, Storage",Dogs & Cats,"$3,200",49.286908038547566,-123.1414022788014,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p790092/muro-apartments-at-1770-davie-st-vancouver-bc-v6g-1w4
Muro,West End Apartments,"1770 Davie St, Vancouver, BC V6G 1W4",Vancouver,Partial Ocean View 1 Bedroom,1 Bedrooms,1 Bathroom,570 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Roof Deck, Storage",Dogs & Cats,"$3,400",49.286908038547566,-123.1414022788014,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p790092/muro-apartments-at-1770-davie-st-vancouver-bc-v6g-1w4
Muro,West End Apartments,"1770 Davie St, Vancouver, BC V6G 1W4",Vancouver,Direct Ocean View 1 Bedroom,1 Bedrooms,1 Bathroom,670 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Roof Deck, Storage",Dogs & Cats,"$3,650",49.286908038547566,-123.1414022788014,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p790092/muro-apartments-at-1770-davie-st-vancouver-bc-v6g-1w4
Alma ,Downtown Vancouver Apartments,"455 Abbott St, Vancouver, BC V6B 2L2",Vancouver,#361,Studios,1 Bathroom,168 SQFT,,,No pets,"$1,950",49.2814823752332,-123.1075156677291,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p529862/alma-455-abbott-street-apartments-at-455-abbott-st-vancouver-bc-v6b-2l2
Alma ,Downtown Vancouver Apartments,"455 Abbott St, Vancouver, BC V6B 2L2",Vancouver,#571,Studios,1 Bathroom,172 SQFT,,,No pets,"$1,995",49.2814823752332,-123.1075156677291,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p529862/alma-455-abbott-street-apartments-at-455-abbott-st-vancouver-bc-v6b-2l2
Alma ,Downtown Vancouver Apartments,"455 Abbott St, Vancouver, BC V6B 2L2",Vancouver,#367,Studios,1 Bathroom,176 SQFT,,,No pets,"$2,000",49.2814823752332,-123.1075156677291,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p529862/alma-455-abbott-street-apartments-at-455-abbott-st-vancouver-bc-v6b-2l2
Alma ,Downtown Vancouver Apartments,"455 Abbott St, Vancouver, BC V6B 2L2",Vancouver,#471,Studios,1 Bathroom,172 SQFT,,,No pets,"$2,000",49.2814823752332,-123.1075156677291,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p529862/alma-455-abbott-street-apartments-at-455-abbott-st-vancouver-bc-v6b-2l2
Alma ,Downtown Vancouver Apartments,"455 Abbott St, Vancouver, BC V6B 2L2",Vancouver,#251,1 Bedrooms,1 Bathroom,197 SQFT,,,No pets,"$2,095",49.2814823752332,-123.1075156677291,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p529862/alma-455-abbott-street-apartments-at-455-abbott-st-vancouver-bc-v6b-2l2
Eterno ,West End Apartments,"1168 Pendrell St, Vancouver, BC V6E 1L4",Vancouver,Luxury,1 Bedrooms,1 Bathroom,465 SQFT,"Assigned Parking, Carpet, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, On Site Laundry, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$2,950—$2,990",49.28196754630817,-123.13160710279269,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p555371/eterno-1168-pendrell-apartments-at-1168-pendrell-st-vancouver-bc-v6e-1l4
Eterno ,West End Apartments,"1168 Pendrell St, Vancouver, BC V6E 1L4",Vancouver,Luxury,2 Bedrooms,1 Bathroom,705 SQFT,"Assigned Parking, Carpet, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, On Site Laundry, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$3,550—$3,650",49.28196754630817,-123.13160710279269,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p555371/eterno-1168-pendrell-apartments-at-1168-pendrell-st-vancouver-bc-v6e-1l4
Eterno ,West End Apartments,"1168 Pendrell St, Vancouver, BC V6E 1L4",Vancouver,Luxury,2 Bedrooms,2 Bathrooms,705 SQFT,"Assigned Parking, Carpet, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, On Site Laundry, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$3,900—$3,975",49.28196754630817,-123.13160710279269,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p555371/eterno-1168-pendrell-apartments-at-1168-pendrell-st-vancouver-bc-v6e-1l4
Eterno ,West End Apartments,"1168 Pendrell St, Vancouver, BC V6E 1L4",Vancouver,Penthouse,2 Bedrooms,2 Bathrooms,790 SQFT,"Assigned Parking, Carpet, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, On Site Laundry, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$4,750",49.28196754630817,-123.13160710279269,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p555371/eterno-1168-pendrell-apartments-at-1168-pendrell-st-vancouver-bc-v6e-1l4
Eterno ,West End Apartments,"1168 Pendrell St, Vancouver, BC V6E 1L4",Vancouver,Penthouse,3 Bedrooms,2 Bathrooms,745 SQFT,"Assigned Parking, Carpet, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, On Site Laundry, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,"$5,000",49.28196754630817,-123.13160710279269,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p555371/eterno-1168-pendrell-apartments-at-1168-pendrell-st-vancouver-bc-v6e-1l4
The Duke,Mt,"333 11th Ave E, Vancouver, BC V5T 0H1",Vancouver,0 Bedroom | 1 Bathroom,Studios,1 Bathroom,417 SQFT,"Hardwood Floor, In Unit Laundry","Controlled Access, Elevator, Onsite Management, Outdoor Space, Package Service, Residents Lounge, Storage",Dogs & Cats,"$2,425",49.26074295254206,-123.09607353853109,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p307387/the-duke-apartments-at-333-11th-ave-e-vancouver-bc-v5t-0h1
The Duke,Mt,"333 11th Ave E, Vancouver, BC V5T 0H1",Vancouver,1 Bedroom | 1 Bathroom,1 Bedrooms,1 Bathroom,579 SQFT,"Hardwood Floor, In Unit Laundry","Controlled Access, Elevator, Onsite Management, Outdoor Space, Package Service, Residents Lounge, Storage",Dogs & Cats,"$2,715",49.26074295254206,-123.09607353853109,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p307387/the-duke-apartments-at-333-11th-ave-e-vancouver-bc-v5t-0h1
Bellevue Towers,West Point Grey Apartments,"4639 10th Ave W, Vancouver, BC V6R 2J3",Vancouver,Studio,Studios,1 Bathroom,500 SQFT,"Balcony, Dishwasher, On Site Laundry","Controlled Access, Fitness Center, On Site Laundry, Onsite Management, Storage",No pets,"$2,250—$2,300",49.26395734895036,-123.21306476675996,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220487/bellevue-towers-apartments-at-4639-10th-ave-w-vancouver-bc-v6r-2j3
Bellevue Towers,West Point Grey Apartments,"4639 10th Ave W, Vancouver, BC V6R 2J3",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,617 SQFT,"Balcony, Dishwasher, On Site Laundry","Controlled Access, Fitness Center, On Site Laundry, Onsite Management, Storage",No pets,"$2,450—$2,750",49.26395734895036,-123.21306476675996,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220487/bellevue-towers-apartments-at-4639-10th-ave-w-vancouver-bc-v6r-2j3
Chancellor Court,University Endowment Lands Apartments,"2233 Allison Rd, Vancouver, BC V6T 1T7",Vancouver,1 Bedroom - Ross House,1 Bedrooms,1 Bathroom,710 SQFT,"Assigned Parking, Balcony, Dishwasher, On Site Laundry","Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Outdoor Space, Storage, Swimming Pool",No pets,"$2,800",49.2655836709858,-123.24147537713154,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p469623/chancellor-court-apartments-at-2233-allison-rd-vancouver-bc-v6t-1t7
